Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-20 12:00:30,Yala,"White Elephant Park, Yala, Thailand (สนามโรงพิธีช้างเผือก ยะลา)",6.546205,101.283137,,-6.6,8.0,,,1008.4,33.0,43.0,,,31.6,4.6,2025-02-20 18:00:00
2025-02-20 12:00:31,Trang,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",7.570238,99.588743,0.1,22.1,55.3,0.6,13.1,1010.5,26.0,43.0,,0.6,32.2,1.5,2025-02-20 18:00:00
2025-02-20 12:00:31,Satun,"Phiman, Satun, Satun, Thailand (ต.พิมาน อ.เมือง จ.สตูล)",6.624747,100.066159,0.1,-6.2,7.8,1.8,6.4,1008.9,21.0,53.0,,0.6,32.6,3.0,2025-02-20 18:00:00
2025-02-20 12:00:32,Narathiwat,"City Hall, Narathiwat, Thailand (ศาลากลางจังหวัดนราธิวาส)",6.426853,101.823388,,-8.0,8.6,,,1011.7,,45.0,99.4,,28.5,2.0,2025-02-20 18:00:00
2025-02-20 12:00:33,Prachuap Khiri Khan,"Prachuap Khiri Khan - Gaia Station 10, Thailand",11.80027,99.790596,,23.8,65.6,,,1013.4,8.3,28.5,99.2,,31.0,1.5,2025-02-20 18:00:00
2025-02-20 12:00:33,Saraburi,"Khao Noi Fire Station, Saraburi, Thailand (สถานีดับเพลิงเขาน้อย)",14.526343,100.926047,0.1,,62.0,9.8,4.4,1013.3,68.0,112.0,,0.6,30.5,0.2,2025-02-20 18:00:00
2025-02-21 01:35:49,Samut Prakan,"City Hall, Samut Prakan, Thailand (ศาลากลางจังหวัดสมุทรปราการ)",13.599149,100.597345,0.1,-7.5,9.2,9.3,13.4,1011.0,55.0,115.0,0.6,0.6,28.0,1.0,2025-02-21 08:00:00
2025-02-21 01:35:49,Nakhon Ratchasima,"Municipal Waste Water Pumping Station, Nakhon Ratchasima, Thailand (สถานีสูบน้ำเสีย เทศบาลนครราชสีมา)",14.979537,102.098335,,-5.7,11.4,4.7,16.6,989.4,,105.0,0.2,0.6,26.8,2.0,2025-02-21 08:00:00
2025-02-21 01:35:50,Surin,"Pyramid House, Surin, Thailand",14.793612,103.43056,,20.9,58.6,,,994.6,,,,,29.9,1.0,
2025-02-21 01:35:50,Sakon Nakhon,"Meteorological stations, Sakon Nakhon, Thailand (สถานีอุตุนิยมวิทยาสกลนคร)",17.15662,104.133216,0.1,-7.2,13.4,,13.4,995.4,40.0,46.0,,1.1,22.1,0.5,2025-02-21 08:00:00
2025-02-21 01:35:51,Mueang Khon Kaen,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",16.44538333,102.83525,,19.6,72.0,,,990.5,,146.0,0.6,,25.0,2.5,2025-02-21 08:00:00
2025-02-21 01:35:51,Nong Khai,"T.Meechai A.Muang Nongkhai Province, Thailand (ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย)",17.87748,102.728925,0.1,-6.0,12.2,1.2,7.5,991.2,36.0,67.0,,0.6,25.2,3.0,2025-02-21 08:00:00
2025-02-21 01:35:52,Kanchanaburi,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",14.022376,99.536195,0.1,-7.7,9.6,,6.7,1008.4,47.0,169.0,,,27.1,0.5,2025-02-21 08:00:00
2025-02-21 01:35:52,Suphan Buri,"Suphan Buri Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดสุพรรณบุรี)",14.476214,100.086095,0.1,-8.5,9.2,4.1,5.2,1011.4,129.0,113.0,,0.6,26.7,4.1,2025-02-21 08:00:00
2025-02-21 01:35:53,Nakhon Sawan,"Nakhonsawan Irrigation , Nakhon Sawan, Thailand (โครงการชลประทานนครสวรรค์)",15.68623,100.110556,0.1,-8.0,9.3,4.1,14.2,1008.5,70.0,101.0,99.3,0.6,27.2,2.5,2025-02-21 08:00:00
2025-02-21 01:35:54,Phitsanulok,"Chom Nan Chaloem Phrakiat Public Park, Thailand (สวนชมน่านเฉลิมพระเกียรติ)",16.820833,100.258056,0.1,-8.9,9.1,6.4,10.7,1005.9,77.0,160.0,,0.6,26.4,1.0,2025-02-21 08:00:00
2025-02-21 01:35:55,Lamphun,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",18.567194,99.038639,,18.0,69.0,0.6,2.0,1014.0,82.0,129.0,,0.6,24.0,1.0,2025-02-21 08:00:00
2025-02-21 01:35:55,Lampang,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",18.2783333,99.5064666,0.1,-7.2,11.7,1.8,11.5,982.7,75.0,112.0,0.8,0.6,24.4,0.5,2025-02-21 06:00:00
